Player,height,weight,born
Curly Armstrong,180,170,1918
Cliff Barker,188,183,1921
Leo Barnhorst,193,190,1924
Ed Bartels,196,194,1925
Ralph Beard,178,174,1927
Gene Berce,180,174,1926
Charlie Black,196,198,1921
Nelson Bobb,183,170,1924
Jake Bornheimer,196,198,1927
Vince Boryla,196,209,1927
Don Boven,193,209,1925
Harry Boykoff,208,225,1922
Joe Bradley,190,174,1928
Bob Brannum,196,214,1925
Carl Braun,196,179,1927
Frankie Brian,185,179,1923
Price Brookfield,193,183,1920
Bob Brown,193,203,1923
Jim Browne,208,234,1930
Walt Budko,196,218,1925
Jack Burmaster,190,190,1926
Tommy Byrnes,190,174,1923
Bill Calhoun,190,179,1927
Don Carlson,183,170,1919
Bob Carpenter,196,198,1917
Jake Carter,193,194,1924
Al Cervi,180,170,1917
John Chaney,190,183,1920
Leroy Chollet,188,190,1925
Bill Closs,196,194,1922
Paul Cloyd,188,179,1920
Jack Coleman,201,194,1924
Bobby Cook,178,154,1923
Ray Corley,183,179,1928
Jack Cotton,201,198,1924
Dillard Crocker,193,203,1925
Chink Crossin,185,163,1923
Fran Curran,183,174,1922
Jimmy Darden,185,170,1922
Bob Davies,185,174,1920
Hook Dillon,190,179,1924
Earl Dodd,196,174,1924
Joe Dolhon,183,174,1927
Bob Doll,196,194,1919
Harry Donovan,188,179,1926
Andy Duncan,198,194,1922
Dike Eddleman,190,187,1922
Gene Englund,196,203,1917
Bob Evans,188,174,1925
Johnny Ezersky,190,174,1922
Bob Feerick,190,190,1920
George Feigenbaum,185,183,1929
Arnie Ferrin,188,179,1925
Jerry Fleishman,188,190,1922
Joe Fulks,196,190,1921
Bill Gabor,180,170,1922
Elmer Gainer,198,194,1918
Harry Gallatin,198,209,1927
Vern Gardner,196,198,1925
Frank Gates,183,159,1920
Dee Gibson,180,174,1923
Hoot Gibson,196,196,1921
Chuck Gilmur,193,225,1922
Normie Glick,201,190,1927
Paul Gordon,190,183,1927
Joe Graboski,201,194,1930
Bud Grant,190,194,1927
Don Grate,188,183,1923
Alex Groza,201,216,1926
Al Guokas,196,198,1925
Robert Hahn,208,238,1925
Chick Halbert,206,225,1919
Bruce Hale,185,170,1918
Dale Hamilton,183,179,1919
Alex Hannum,201,209,1923
John Hargis,188,179,1920
Bob Harris,201,194,1927
