Name,Season,pre,end,concat,Official Season,AllStar,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1979-80,19,80,1980,1980,1,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1980-81,19,81,1981,1981,1,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1981-82,19,82,1982,1982,1,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1982-83,19,83,1983,1983,1,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1983-84,19,84,1984,1984,1,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1984-85,19,85,1985,1985,1,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1985-86,19,86,1986,1986,1,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1986-87,19,87,1987,1987,1,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1987-88,19,88,1988,1988,1,,,,,,,,,,,,,,,,,,,,,,,
Kareem Abdul-Jabbar,1988-89,19,89,1989,1989,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,1997-98,19,98,1998,1998,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,1999-00,19,00,1900,2000,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2000-01,20,01,2001,2001,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2001-02,20,02,2002,2002,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2002-03,20,03,2003,2003,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2003-04,20,04,2004,2004,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2004-05,20,05,2005,2005,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2005-06,20,06,2006,2006,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2006-07,20,07,2007,2007,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2007-08,20,08,2008,2008,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2008-09,20,09,2009,2009,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2009-10,20,10,2010,2010,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2010-11,20,11,2011,2011,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2011-12,20,12,2012,2012,1,,,,,,,,,,,,,,,,,,,,,,,
Kobe Bryant,2012-13,20,13,2013,2013,1,,,,,,,,,,,,,,,,,,,,,,,
