name,year_start,year_end,position,height,height(inches),weight,birth_date,college
Alaa Abdelnaby,1991,1995,F,10-Jun,82,240,24-Jun-68,Duke University
Mahmoud Abdul-Rauf,1991,2001,G,1-Jun,73,162,9-Mar-69,Louisiana State University
Tariq Abdul-Wahad,1998,2003,F,6-Jun,78,223,3-Nov-74,San Jose State University
Shareef Abdur-Rahim,1997,2008,F,9-Jun,81,225,11-Dec-76,University of California
Alex Abrines,2017,2018,G,6-Jun,78,190,1-Aug-93,
Alex Acker,2006,2009,G,5-Jun,77,185,21-Jan-83,Pepperdine University
Mark Acres,1988,1993,F,11-Jun,83,220,15-Nov-62,Oral Roberts University
Quincy Acy,2013,2018,F,7-Jun,79,240,6-Oct-90,Baylor University
Hassan Adams,2007,2009,G,4-Jun,76,220,20-Jun-84,University of Arizona
Jordan Adams,2015,2016,G,5-Jun,77,209,8-Jul-94,"University of California, Los Angeles"
Michael Adams,1986,1996,G,10-May,70,162,19-Jan-63,Boston College
Steven Adams,2014,2018,C,Jul-00,84,255,20-Jul-93,University of Pittsburgh
Rafael Addison,1987,1997,F,7-Jun,79,215,22-Jul-64,Syracuse University
Bam Adebayo,2018,2018,C,10-Jun,82,243,18-Jul-97,University of Kentucky
Jeff Adrien,2011,2015,F,7-Jun,79,245,10-Feb-86,University of Connecticut
Arron Afflalo,2008,2018,G,5-Jun,77,210,15-Oct-85,"University of California, Los Angeles"
Maurice Ager,2007,2011,G,5-Jun,77,202,9-Feb-84,Michigan State University
Mark Aguirre,1982,1994,F,6-Jun,78,232,10-Dec-59,DePaul University
Blake Ahearn,2008,2012,G,2-Jun,74,190,27-May-84,Missouri State University
Danny Ainge,1982,1995,G,4-Jun,76,175,17-Mar-59,Brigham Young University
Alexis Ajinca,2009,2017,C,2-Jul,86,248,6-May-88,
Josh Akognon,2013,2013,G,11-May,71,185,10-Feb-86,"California State University, Fullerton"
Solomon Alabi,2011,2012,C,1-Jul,85,251,21-Mar-88,Florida State University
Mark Alarie,1987,1991,F,8-Jun,80,217,11-Dec-63,Duke University
Furkan Aldemir,2015,2015,F,10-Jun,82,240,9-Aug-91,
Cole Aldrich,2011,2018,C,11-Jun,83,250,31-Oct-88,University of Kansas
LaMarcus Aldridge,2007,2018,F,11-Jun,83,260,19-Jul-85,University of Texas at Austin
Chuck Aleksinas,1985,1985,C,11-Jun,83,260,26-Feb-59,University of Connecticut
Cliff Alexander,2016,2016,F,8-Jun,80,245,16-Nov-95,University of Kansas
Cory Alexander,1996,2005,G,1-Jun,73,185,22-Jun-73,University of Virginia
Courtney Alexander,2001,2003,G,5-Jun,77,205,27-Apr-77,"California State University, Fresno"
Gary Alexander,1994,1994,F,7-Jun,79,240,1-Nov-69,University of South Florida
Joe Alexander,2009,2010,F,8-Jun,80,230,26-Dec-86,West Virginia University
Victor Alexander,1992,2002,C,9-Jun,81,265,31-Aug-69,Iowa State University
Steve Alford,1988,1991,G,2-Jun,74,183,23-Nov-64,Indiana University
Jarrett Allen,2018,2018,F,10-Jun,82,234,21-Apr-98,University of Texas at Austin
Jerome Allen,1996,1997,G,4-Jun,76,184,28-Jan-73,University of Pennsylvania
Kadeem Allen,2018,2018,G,3-Jun,75,192,15-Jan-93,University of Arizona
Lavoy Allen,2012,2017,F,9-Jun,81,260,4-Feb-89,Temple University
Malik Allen,2002,2011,F,10-Jun,82,255,27-Jun-78,Villanova University
Randy Allen,1989,1990,F,8-Jun,80,220,26-Jan-65,Florida State University
Ray Allen,1997,2014,G,5-Jun,77,205,20-Jul-75,University of Connecticut
Tony Allen,2005,2018,G,4-Jun,76,213,11-Jan-82,Oklahoma State University
Lance Allred,2008,2008,C,11-Jun,83,250,2-Feb-81,Weber State University
Darrell Allums,1981,1981,F,9-Jun,81,220,12-Sep-58,"University of California, Los Angeles"
Morris Almond,2008,2012,G,6-Jun,78,225,2-Feb-85,Rice University
Derrick Alston,1995,1997,F,11-Jun,83,225,20-Aug-72,Duquesne University
Rafer Alston,2000,2010,G,2-Jun,74,171,24-Jul-76,"California State University, Fresno"
Peter Aluma,1999,1999,C,10-Jun,82,260,23-Apr-73,Liberty University
John Amaechi,1996,2003,C,10-Jun,82,270,26-Nov-70,Pennsylvania State University
Ashraf Amaya,1996,1997,F,8-Jun,80,230,23-Nov-71,Southern Illinois University
Al-Farouq Aminu,2011,2018,F,9-Jun,81,220,21-Sep-90,Wake Forest University
Lou Amundson,2007,2016,F,9-Jun,81,220,7-Dec-82,"University of Nevada, Las Vegas"
Chris Andersen,2002,2017,F,10-Jun,82,245,7-Jul-78,Blinn College
David Andersen,2010,2011,C,11-Jun,83,245,23-Jun-80,
Alan Anderson,2006,2017,G,6-Jun,78,220,16-Oct-82,Michigan State University
Antonio Anderson,2010,2010,G,6-Jun,78,215,5-Jun-85,University of Memphis
Derek Anderson,1998,2008,G,5-Jun,77,194,18-Jul-74,University of Kentucky
Dwight Anderson,1983,1983,G,3-Jun,75,185,28-Dec-60,University of Southern California
Eric Anderson,1993,1994,F,9-Jun,81,220,26-May-70,Indiana University
Greg Anderson,1988,1998,F,10-Jun,82,230,22-Jun-64,University of Houston
J.J. Anderson,1983,1985,F,8-Jun,80,195,23-Sep-60,Bradley University
James Anderson,2011,2016,G,6-Jun,78,213,25-Mar-89,Oklahoma State University
Justin Anderson,2016,2018,G,6-Jun,78,228,19-Nov-93,University of Virginia
Kenny Anderson,1992,2005,G,Jun-00,72,168,9-Oct-70,Georgia Institute of Technology
Kyle Anderson,2015,2018,F,9-Jun,81,230,20-Sep-93,"University of California, Los Angeles"
Michael Anderson,1989,1989,G,11-May,71,184,23-Mar-66,Drexel University
Nick Anderson,1990,2002,F,6-Jun,78,205,20-Jan-68,University of Illinois at Urbana-Champaign
Richard Anderson,1983,1990,F,10-Jun,82,240,19-Nov-60,"University of California, Santa Barbara"
Ron Anderson,1985,1994,F,7-Jun,79,215,15-Oct-58,"California State University, Fresno"
Ryan Anderson,2009,2018,F,10-Jun,82,240,6-May-88,University of California
Shandon Anderson,1997,2006,F,6-Jun,78,208,31-Dec-73,University of Georgia
Willie Anderson,1989,1997,G,7-Jun,79,190,8-Jan-67,University of Georgia
Martynas Andriuskevicius,2006,2006,C,2-Jul,86,240,12-Mar-86,
Ike Anigbogu,2018,2018,F,10-Jun,82,252,22-Oct-98,"University of California, Los Angeles"
Michael Ansley,1990,1992,F,7-Jun,79,225,8-Feb-67,University of Alabama
Chris Anstey,1998,2000,C,Jul-00,84,249,1-Jan-75,
Giannis Antetokounmpo,2014,2018,F,11-Jun,83,222,6-Dec-94,
Thanasis Antetokounmpo,2016,2016,F,7-Jun,79,205,17-Jul-92,
Carmelo Anthony,2004,2018,F,8-Jun,80,240,29-May-84,Syracuse University
Greg Anthony,1992,2002,G,Jun-00,72,176,15-Nov-67,"University of Nevada, Las Vegas"
Joel Anthony,2008,2017,C,9-Jun,81,245,9-Aug-82,"University of Nevada, Las Vegas"
Pero Antic,2014,2015,C,11-Jun,83,260,29-Jul-82,
OG Anunoby,2018,2018,F,8-Jun,80,232,17-Jul-97,Indiana University
Keith Appling,2016,2016,G,1-Jun,73,185,13-Feb-92,Michigan State University
Rafael Araujo,2005,2007,C,11-Jun,83,280,12-Aug-80,Brigham Young University
Robert Archibald,2003,2004,F,11-Jun,83,250,29-Mar-80,University of Illinois at Urbana-Champaign
Ryan Arcidiacono,2018,2018,G,3-Jun,75,188,26-Mar-94,Villanova University
Gilbert Arenas,2002,2012,G,3-Jun,75,191,6-Jan-82,University of Arizona
Trevor Ariza,2005,2018,F,8-Jun,80,215,30-Jun-85,"University of California, Los Angeles"
Joe Arlauckas,1988,1988,F,9-Jun,81,230,20-Jul-65,Niagara University
B.J. Armstrong,1990,2000,G,2-Jun,74,175,9-Sep-67,University of Iowa
Brandon Armstrong,2002,2004,G,5-Jun,77,188,16-Jun-80,Pepperdine University
Darrell Armstrong,1995,2008,G,Jun-00,72,170,22-Jun-68,Fayetteville State University
Hilton Armstrong,2007,2014,F,11-Jun,83,235,11-Nov-84,University of Connecticut
Carlos Arroyo,2002,2011,G,2-Jun,74,202,30-Jul-79,Florida International University
Darrell Arthur,2009,2018,F,9-Jun,81,235,25-Mar-88,University of Kansas
Jamel Artis,2018,2018,G,7-Jun,79,213,12-Jan-93,University of Pittsburgh
Omer Asik,2011,2018,C,Jul-00,84,255,4-Jul-86,
Vincent Askew,1988,1998,G,6-Jun,78,210,28-Feb-66,University of Memphis
Keith Askins,1991,1999,G,7-Jun,79,197,15-Dec-67,University of Alabama
Chucky Atkins,2000,2010,G,11-May,71,160,14-Aug-74,University of South Florida
Stacey Augmon,1992,2006,F,8-Jun,80,205,1-Aug-68,"University of Nevada, Las Vegas"
D.J. Augustin,2009,2018,G,Jun-00,72,183,10-Nov-87,University of Texas at Austin
James Augustine,2007,2008,F,10-Jun,82,235,27-Feb-84,University of Illinois at Urbana-Champaign
Isaac Austin,1992,2002,C,10-Jun,82,255,18-Aug-69,Arizona State University
Ken Austin,1984,1984,F,9-Jun,81,205,15-Jul-61,Rice University
Anthony Avent,1993,2000,F,9-Jun,81,235,18-Oct-69,Seton Hall University
William Avery,2000,2002,G,2-Jun,74,197,8-Aug-79,Duke University
Gustavo Ayon,2012,2014,C,10-Jun,82,250,1-Apr-85,
Jeff Ayres,2010,2016,F,9-Jun,81,240,29-Apr-87,Arizona State University
Kelenna Azubuike,2007,2012,G,5-Jun,77,220,16-Dec-83,University of Kentucky
Chris Babb,2014,2014,G,5-Jun,77,225,14-Feb-90,Iowa State University
Luke Babbitt,2011,2018,F,9-Jun,81,225,20-Jun-89,"University of Nevada, Reno"
Milos Babic,1991,1992,C,Jul-00,84,240,23-Nov-68,Tennessee Technological University
Dwayne Bacon,2018,2018,G,6-Jun,78,222,30-Aug-95,Florida State University
Dalibor Bagaric,2001,2003,C,1-Jul,85,255,7-Feb-80,
John Bagley,1983,1994,G,Jun-00,72,185,23-Apr-60,Boston College
Carl Bailey,1982,1982,C,Jul-00,84,210,23-Apr-58,Tuskegee University
James Bailey,1980,1988,F,9-Jun,81,220,21-May-57,Rutgers University
Thurl Bailey,1984,1999,F,11-Jun,83,215,7-Apr-61,North Carolina State University
Toby Bailey,1999,2000,G,6-Jun,78,213,19-Nov-75,"University of California, Los Angeles"
Cameron Bairstow,2015,2016,F,9-Jun,81,250,7-Dec-90,University of New Mexico
LaMark Baker,1999,1999,G,1-Jun,73,175,11-Nov-69,Ohio State University
Maurice Baker,2005,2005,G,1-Jun,73,175,28-Jul-79,Oklahoma State University
Ron Baker,2017,2018,G,4-Jun,76,220,30-Mar-93,Wichita State University
Vin Baker,1994,2006,F,11-Jun,83,232,23-Nov-71,University of Hartford
Wade Baldwin,2017,2017,G,4-Jun,76,202,29-Mar-96,Vanderbilt University
Renaldo Balkman,2007,2012,F,8-Jun,80,208,14-Jul-84,University of South Carolina
Cedric Ball,1991,1991,F,8-Jun,80,210,16-Apr-68,University of North Carolina at Charlotte
Lonzo Ball,2018,2018,G,6-Jun,78,190,27-Oct-97,"University of California, Los Angeles"
Gene Banks,1982,1987,F,7-Jun,79,215,15-May-59,Duke University
Marcus Banks,2004,2011,G,2-Jun,74,200,19-Nov-81,"University of Nevada, Las Vegas"
Ken Bannister,1985,1991,F,9-Jun,81,235,1-Apr-60,Saint Augustine's College
Leandro Barbosa,2004,2017,G,3-Jun,75,194,28-Nov-82,
Steve Bardo,1992,1996,G,5-Jun,77,190,5-Apr-68,University of Illinois at Urbana-Champaign
J.J. Barea,2007,2018,G,Jun-00,72,185,26-Jun-84,Northeastern University
Andrea Bargnani,2007,2016,F,Jul-00,84,245,26-Oct-85,
Charles Barkley,1985,2000,F,6-Jun,78,252,20-Feb-63,Auburn University
Erick Barkley,2001,2002,G,1-Jun,73,177,21-Feb-78,St. John's University
Harrison Barnes,2013,2018,F,8-Jun,80,210,30-May-92,University of North Carolina
Matt Barnes,2004,2017,F,7-Jun,79,226,9-Mar-80,"University of California, Los Angeles"
Andre Barrett,2005,2008,G,10-May,70,172,21-Feb-82,Seton Hall University
Earl Barron,2006,2015,C,Jul-00,84,250,14-Aug-81,University of Memphis
Dana Barros,1990,2004,G,11-May,71,163,13-Apr-67,Boston College
Brent Barry,1996,2009,G,6-Jun,78,185,31-Dec-71,Oregon State University
Drew Barry,1998,2000,G,5-Jun,77,191,17-Feb-73,Georgia Institute of Technology
Jon Barry,1993,2006,G,4-Jun,76,195,25-Jul-69,Georgia Institute of Technology
Will Barton,2013,2018,G,6-Jun,78,175,6-Jan-91,University of Memphis
Eddie Basden,2006,2006,G,5-Jun,77,215,15-Feb-83,University of North Carolina at Charlotte
Brandon Bass,2006,2017,F,8-Jun,80,250,30-Apr-85,Louisiana State University
Maceo Baston,2003,2009,F,9-Jun,81,215,29-May-75,University of Michigan
Mengke Bateer,2002,2004,C,11-Jun,83,290,20-Nov-75,
Billy Ray Bates,1980,1983,G,4-Jun,76,210,31-May-56,Kentucky State University
Esteban Batista,2006,2007,F,10-Jun,82,270,2-Sep-83,
Mike Batiste,2003,2003,F,8-Jun,80,225,21-Nov-77,Arizona State University
Tony Battie,1998,2012,C,11-Jun,83,230,11-Feb-76,Texas Tech University
Shane Battier,2002,2014,F,8-Jun,80,220,9-Sep-78,Duke University
John Battle,1986,1995,G,2-Jun,74,175,9-Nov-62,Rutgers University
Kenny Battle,1990,1993,F,6-Jun,78,210,10-Oct-64,University of Illinois at Urbana-Champaign
Dave Batton,1983,1984,C,10-Jun,82,240,26-Mar-56,University of Notre Dame
Nicolas Batum,2009,2018,F,8-Jun,80,200,14-Dec-88,
Lonny Baxter,2003,2006,F,8-Jun,80,260,27-Jan-79,University of Maryland
Jerryd Bayless,2009,2018,G,3-Jun,75,200,20-Aug-88,University of Arizona
Aron Baynes,2013,2018,C,10-Jun,82,260,9-Dec-86,Washington State University
Sergei Bazarevich,1995,1995,G,2-Jun,74,168,16-Mar-65,
Kent Bazemore,2013,2018,G,5-Jun,77,201,1-Jul-89,Old Dominion University
Bradley Beal,2013,2018,G,5-Jun,77,207,28-Jun-93,University of Florida
Jerome Beasley,2004,2004,F,10-Jun,82,237,17-May-80,University of North Dakota
Malik Beasley,2017,2018,G,5-Jun,77,196,26-Nov-96,Florida State University
Michael Beasley,2009,2018,F,9-Jun,81,235,9-Jan-89,Kansas State University
Rodrigue Beaubois,2010,2013,G,Jun-00,72,170,24-Feb-88,
Corey Beck,1996,1999,G,1-Jun,73,190,27-May-71,University of Arkansas
William Bedford,1987,1993,C,Jul-00,84,225,14-Dec-63,University of Memphis
Marco Belinelli,2008,2018,G,5-Jun,77,210,25-Mar-86,
Charlie Bell,2002,2011,G,3-Jun,75,200,12-Mar-79,Michigan State University
Jordan Bell,2018,2018,F,9-Jun,81,224,7-Jan-95,University of Oregon
Raja Bell,2001,2012,G,5-Jun,77,204,19-Sep-76,Florida International University
Troy Bell,2004,2004,G,1-Jun,73,180,10-Nov-80,Boston College
DeAndre' Bembry,2017,2018,F,6-Jun,78,210,4-Jul-94,Saint Joseph's University
Dragan Bender,2017,2018,F,1-Jul,85,225,17-Nov-97,
Jonathan Bender,2000,2010,F,11-Jun,83,202,30-Jan-81,
Jerrelle Benimon,2015,2015,F,8-Jun,80,245,1-Aug-91,Towson University
Benoit Benjamin,1986,2000,C,Jul-00,84,250,22-Nov-64,Creighton University
Corey Benjamin,1999,2003,G,6-Jun,78,200,24-Feb-78,Oregon State University
Anthony Bennett,2014,2017,F,8-Jun,80,245,14-Mar-93,"University of Nevada, Las Vegas"
Elmer Bennett,1995,1997,G,Jun-00,72,170,13-Feb-70,University of Notre Dame
Mario Bennett,1996,2000,F,6-Jun,78,235,1-Aug-73,Arizona State University
Tony Bennett,1993,1995,G,Jun-00,72,175,1-Jun-69,University of Wisconsin-Green Bay
Winston Bennett,1990,1992,F,7-Jun,79,210,9-Feb-65,University of Kentucky
David Benoit,1992,2001,F,8-Jun,80,220,9-May-68,University of Alabama
Keith Benson,2012,2012,C,11-Jun,83,240,13-Aug-88,Oakland University
Ben Bentil,2017,2017,F,9-Jun,81,235,29-Mar-95,Providence College
Ricky Berry,1989,1989,F,8-Jun,80,205,6-Oct-64,San Jose State University
Walter Berry,1987,1989,F,8-Jun,80,215,14-May-64,St. John's University
Davis Bertans,2017,2018,F,10-Jun,82,210,12-Nov-92,
Travis Best,1996,2005,G,11-May,71,182,12-Jul-72,Georgia Institute of Technology
Patrick Beverley,2013,2018,G,1-Jun,73,185,12-Jul-88,University of Arkansas
Sim Bhullar,2015,2015,C,5-Jul,89,360,2-Dec-92,New Mexico State University
Mike Bibby,1999,2012,G,1-Jun,73,190,13-May-78,University of Arizona
Andris Biedrins,2005,2014,C,11-Jun,83,240,2-Apr-86,
Chauncey Billups,1998,2014,G,3-Jun,75,202,25-Sep-76,University of Colorado
Joe Binion,1987,1987,F,8-Jun,80,235,26-Mar-61,North Carolina Agricultural and Technical State University
Khem Birch,2018,2018,C,9-Jun,81,220,28-Sep-92,"University of Nevada, Las Vegas"
Jabari Bird,2018,2018,G,6-Jun,78,197,3-Jul-94,University of California
Larry Bird,1980,1992,F,9-Jun,81,220,7-Dec-56,Indiana State University
Bismack Biyombo,2012,2018,C,9-Jun,81,255,28-Aug-92,
Nemanja Bjelica,2016,2018,F,10-Jun,82,240,9-May-88,
Uwe Blab,1986,1990,C,1-Jul,85,252,26-Mar-62,Indiana University
Norman Black,1981,1981,G,5-Jun,77,185,12-Nov-57,Saint Joseph's University
Tarik Black,2015,2018,C,9-Jun,81,250,22-Nov-91,University of Kansas
