Player,height,weight,born,year_start,year_end,position
Curly Armstrong,71,170,1918,,,
Cliff Barker,74,183,1921,,,
Leo Barnhorst,76,190,1924,,,
Ed Bartels,77,194,1925,,,
Ralph Beard,70,174,1927,,,
Gene Berce,71,174,1926,,,
Charlie Black,77,198,1921,,,
Nelson Bobb,72,170,1924,,,
Jake Bornheimer,77,198,1927,,,
Vince Boryla,77,209,1927,,,
Don Boven,76,209,1925,,,
Harry Boykoff,82,225,1922,,,
Joe Bradley,75,174,1928,,,
Bob Brannum,77,214,1925,,,
Carl Braun,77,179,1927,,,
Frankie Brian,73,179,1923,,,
Price Brookfield,76,183,1920,,,
Bob Brown,76,203,1923,,,
Jim Browne,82,234,1930,,,
Walt Budko,77,218,1925,,,
Jack Burmaster,75,190,1926,,,
Tommy Byrnes,75,174,1923,,,
Bill Calhoun,75,179,1927,,,
Don Carlson,72,170,1919,,,
Bob Carpenter,77,198,1917,,,
Jake Carter,76,194,1924,,,
Al Cervi,71,170,1917,,,
John Chaney,75,183,1920,,,
Leroy Chollet,74,190,1925,,,
Bill Closs,77,194,1922,,,
Paul Cloyd,74,179,1920,,,
Jack Coleman,79,194,1924,,,
Bobby Cook,70,154,1923,,,
Ray Corley,72,179,1928,,,
Jack Cotton,79,198,1924,,,
Dillard Crocker,76,203,1925,,,
Chink Crossin,73,163,1923,,,
Fran Curran,72,174,1922,,,
Jimmy Darden,73,170,1922,,,
Bob Davies,73,174,1920,,,
Hook Dillon,75,179,1924,,,
Earl Dodd,77,174,1924,,,
Joe Dolhon,72,174,1927,,,
Bob Doll,77,194,1919,,,
Harry Donovan,74,179,1926,,,
Andy Duncan,78,194,1922,,,
Dike Eddleman,75,187,1922,,,
Gene Englund,77,203,1917,,,
Bob Evans,74,174,1925,,,
Johnny Ezersky,75,174,1922,,,
Bob Feerick,75,190,1920,,,
George Feigenbaum,73,183,1929,,,
Arnie Ferrin,74,179,1925,,,
Jerry Fleishman,74,190,1922,,,
Joe Fulks,77,190,1921,,,
Bill Gabor,71,170,1922,,,
Elmer Gainer,78,194,1918,,,
Harry Gallatin,78,209,1927,,,
Vern Gardner,77,198,1925,,,
Frank Gates,72,159,1920,,,
Dee Gibson,71,174,1923,,,
Hoot Gibson,77,196,1921,,,
Chuck Gilmur,76,225,1922,,,
Normie Glick,79,190,1927,,,
Paul Gordon,75,183,1927,,,
Joe Graboski,79,194,1930,,,
Bud Grant,75,194,1927,,,
Don Grate,74,183,1923,,,
Alex Groza,79,216,1926,,,
Al Guokas,77,198,1925,,,
Robert Hahn,82,238,1925,,,
Chick Halbert,81,225,1919,,,
Bruce Hale,73,170,1918,,,
Dale Hamilton,72,179,1919,,,
Alex Hannum,79,209,1923,,,
John Hargis,74,179,1920,,,
Bob Harris,79,194,1927,,,
Bob Harrison,79,194,1927,,,
Billy Hassett,71,179,1921,,,
