Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
2017,Tristan Thompson,C,25,CLE,78,78,2336,15.3,0.594,0.007,0.487,14,19.6,16.9,4.6,0.8,2.9,10.8,11.3,5,2.3,7.3,0.15,0,1.5,1.5,2.1,262,437,0.6,0,3,0,262,434,0.604,0.6,106,213,0.498,287,429,716,77,39,84,64,176,630,18854
2017,Marcus Thornton,SG,29,WAS,33,1,575,10.4,0.494,0.381,0.129,4.3,10.5,7.5,10.1,1.6,0.4,10.1,18.7,0.1,0.4,0.5,0.042,-1.6,-1.5,-3.2,-0.2,84,210,0.4,28,80,0.35,56,130,0.431,0.467,23,27,0.852,22,54,76,41,19,3,25,48,219,18855
2017,Mike Tobey,C,22,CHO,2,0,25,-0.1,0.25,0,0,8.7,4.4,6.6,5.4,0,0,20,9,0,0,0,-0.07,-7.4,-1.5,-8.9,0,1,4,0.25,0,0,0,1,4,0.25,0.25,0,0,0,2,1,3,1,0,0,1,2,2,18856
2017,Anthony Tolliver,PF,31,SAC,65,9,1477,11.1,0.595,0.655,0.234,4,14.5,9.3,7.7,1.1,1.2,12.6,13.6,1.5,0.8,2.3,0.075,0.2,-0.8,-0.6,0.5,155,351,0.442,90,230,0.391,65,121,0.537,0.57,61,82,0.744,51,188,239,77,33,20,56,109,461,18857
2017,Axel Toupane,SF,24,TOT,4,0,47,6.2,0.611,0.444,0,0,2.3,1.1,0,1,1.7,0,8.5,0,0,0.1,0.061,-2.8,-1,-3.8,0,5,9,0.556,1,4,0.25,4,5,0.8,0.611,0,0,0,0,1,1,0,1,1,0,6,11,18858
2017,Axel Toupane,SF,24,MIL,2,0,6,-9.9,0,1,0,0,0,0,0,0,0,0,7.6,0,0,0,-0.191,-9.2,-3.5,-12.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,18859
2017,Axel Toupane,SF,24,NOP,2,0,41,8.6,0.688,0.375,0,0,2.6,1.3,0,1.2,2,0,8.6,0.1,0,0.1,0.098,-1.9,-0.6,-2.5,0,5,8,0.625,1,3,0.333,4,5,0.8,0.688,0,0,0,0,1,1,0,1,1,0,5,11,18860
2017,Karl-Anthony Towns,C,21,MIN,82,82,3030,26,0.618,0.186,0.289,11.2,27.8,19.4,13.2,1,2.9,11.3,27.5,9.9,2.8,12.7,0.201,4.8,0.3,5,5.4,802,1479,0.542,101,275,0.367,701,1204,0.582,0.576,356,428,0.832,296,711,1007,220,57,103,212,241,2061,18861
2017,P.J. Tucker,SF,31,TOT,81,21,2236,10.5,0.516,0.407,0.193,5.6,17.8,11.6,6,2.5,0.7,11.2,11.2,1.4,2.2,3.6,0.078,-0.7,1.6,0.9,1.6,199,482,0.413,70,196,0.357,129,286,0.451,0.485,72,93,0.774,117,355,472,99,116,19,66,196,540,18862
2017,P.J. Tucker,SF,31,PHO,57,17,1627,10.6,0.517,0.384,0.218,6.1,17.1,11.5,6.1,2.5,0.7,11.8,11.3,1,1.3,2.4,0.07,-0.6,1.5,0.8,1.2,147,354,0.415,46,136,0.338,101,218,0.463,0.48,61,77,0.792,94,249,343,73,85,14,52,143,401,18863
2017,P.J. Tucker,SF,31,TOR,24,4,609,10.4,0.515,0.469,0.125,4.3,19.6,12,5.9,2.6,0.7,9.4,10.9,0.4,0.9,1.3,0.099,-0.7,1.9,1.1,0.5,52,128,0.406,24,60,0.4,28,68,0.412,0.5,11,16,0.688,23,106,129,26,31,5,14,53,139,18864
2017,Evan Turner,SF,28,POR,65,12,1658,11.4,0.491,0.214,0.187,2.4,14.2,8.3,18.4,1.6,1.2,14.3,18.5,0,1.2,1.2,0.035,-2.5,-0.1,-2.6,-0.3,235,552,0.426,31,118,0.263,204,434,0.47,0.454,85,103,0.825,36,211,247,205,53,24,100,121,586,18865
2017,Myles Turner,C,20,IND,81,81,2541,18.5,0.585,0.132,0.349,6.2,19.5,13,6.6,1.5,6,9.5,19.5,4.3,3.7,8,0.151,-0.3,2.7,2.4,2.8,444,869,0.511,40,115,0.348,404,754,0.536,0.534,245,303,0.809,139,448,587,106,74,173,105,262,1173,18866
2017,Beno Udrih,PG,34,DET,39,0,560,16.1,0.535,0.162,0.173,1.1,10.3,5.6,35.4,1.2,0,14.9,19.7,0.8,0.5,1.3,0.111,-0.5,-2.1,-2.6,-0.1,92,197,0.467,11,32,0.344,81,165,0.491,0.495,32,34,0.941,6,51,57,131,13,0,37,29,227,18867
2017,Tyler Ulis,PG,21,PHO,61,15,1123,13,0.474,0.181,0.162,1.9,7.5,4.6,30.5,2,0.4,14.1,20.3,0.3,0.4,0.7,0.029,-1.4,-2.5,-4,-0.6,184,437,0.421,21,79,0.266,163,358,0.455,0.445,55,71,0.775,20,75,95,226,48,5,77,73,444,18868
2017,Jarrod Uthoff,PF,23,DAL,9,0,115,13.9,0.487,0.237,0.184,7.7,14.8,11.1,12.8,0.9,3.1,6.8,18.1,0.1,0.1,0.2,0.083,-2.1,0.7,-1.4,0,16,38,0.421,3,9,0.333,13,29,0.448,0.461,5,7,0.714,8,14,22,9,2,4,3,8,40,18869
2017,Jonas Valanciunas,C,24,TOR,80,80,2066,20.1,0.601,0.003,0.309,12.4,29.1,20.8,4.4,0.9,2.6,11.7,19.5,4.9,3,7.9,0.183,-0.5,-0.1,-0.6,0.7,391,702,0.557,1,2,0.5,390,700,0.557,0.558,176,217,0.811,226,533,759,57,37,63,106,216,959,18870
